SNOMED conceptID;SNOMED term;Google translate vertaalde term;Thot vertaling;Matecat vertaling
183297003;Leg prosthesis use training;Beenprothese gebruik training;beenprothese gebruik training;Beenprothese gebruik training
183399002;Antiphobic therapy;Antiphobic therapie;antiphobic therapie;Antiphobic therapie
184153002;Biopsy of inner ear;Biopsie van binnenoor;biopsie van binnenoor;Biopsie van binnenoor
185528003;Opportunistic screening;opportunistische screening;opportunistische screening;opportunistische screening
185876009;Enteroplasty;Enteroplasty;enteroplasty;Enteroplasty
187528002;Fasciodesis;Fasciodesis;fasciodesis;Fasciodesis
189005002;Hauser achillotenotomy;Hauser achillotenotomy;hauser achillotenotomy;Hauser achillotenotomy
192413007;Osteoclasis of inner ear;Osteoclasis van binnenoor;osteoclasis van binnenoor;Osteoclasis van binnenoor
195115001;Duodenocholedochotomy;Duodenocholedochotomy;duodenocholedochotomy;duodenocholedochotomie
196505006;Hepaticostomy;Hepaticostomy;hepaticostomy;hepaticostomie
197357002;Kutler amputation;Kutler amputatie;kutler amputatie;Kutler amputatie
197922007;Biopsy of lacrimal gland;Biopsie van traanklier;biopsie van traanklier;Biopsie van traanklier
198144000;Hepaticodochotomy;Hepaticodochotomy;hepaticodochotomy;Hepaticodochotomy
199001009;Hepaticotomy;Hepaticotomy;hepaticotomy;hepaticotomie
209055006;Biopsy of middle ear;Biopsie van middenoor;biopsie van middenoor;Biopsie van middenoor
220187008;Hymenorrhaphy;Hymenorrhaphy;hymenorrhaphy;Hymenorrhaphy
225119004;Repadding wound;Repadding wond;repadding wond;Repadding wond
225120005;Padding wound;padding wond;padding wond;padding wond
225147000;Soaking skin;soaking huid;soaking huid;soaking huid
225202008;Resiting intravenous infusion;Resiting intraveneuze infusie;resiting intraveneuze infusie;Resiting intraveneuze infusie
225220004;Communication interventions;communicatie interventies;communicatie interventies;communicatie interventies
225236002;Religaturing umbilical cord;Religaturing navelstreng;religaturing navelstreng;Religaturing navelstreng
225301004;Sliding scale insulin regime;Glijdende schaal insuline regime;glijdende schaal insuline regime;Glijdende schaal insuline regime
225306009;Maximum observation;maximum observatie;maximum observatie;maximum observatie
225314003;Risk management;Risicomanagement;risicomanagement;Risicobeheer
225316001;Bedrest;Bedrust;bedrust;Bedrust
225334002;Intervention regimes;interventie regimes;interventie regimes;interventie regimes
225336000;Radiation risk assessment;Straling risicobeoordeling;straling risicobeoordeling;Straling risicobeoordeling
225347007;Empowerment;Empowerment;empowerment;Zelfbeschikking
225390008;Triage;Triage;triage;Triage
225417009;Intermittent observation;intermitterende observatie;intermitterende observatie;intermitterende observatie
226056003;Sensory stimulation;sensorische stimulatie;sensorische stimulatie;sensorische stimulatie
228116005;Notification of adoption;Kennisgeving van adoptie;kennisgeving van adoptie;Kennisgeving van adoptie
228545004;Coma stimulation;coma stimulatie;coma stimulatie;coma stimulatie
228546003;Orientation training;ori ë ntatie training;ori ë ntatie training;ori ë ntatie training
228547007;Reality orientation;Reality ori ë ntatie;reality ori ë ntatie;Reality ori ë ntatie
228549005;Reminiscence therapy;Reminiscence therapie;reminiscence therapie;Reminiscence therapie
228553007;Cognitive therapy;cognitieve therapie;cognitieve therapie;Cognitieve therapie
228573002;Activity scheduling;activiteit scheduling;activiteit , scheduling;activiteit scheduling
228583003;Motivation therapy;motivatie therapie;motivatie therapie;motivatie therapie
228650000;Activity analysis;activiteit analyse;activiteit analyse;handelingsanalyse
228652008;Horticultural therapy;Horticultural therapie;horticultural therapie;Horticultural therapie
228677009;Cesium 137 brachytherapy;Cesium 137 brachytherapie;cesium 137 brachytherapie;Cesium 137 brachytherapie
228680005;Curietron brachytherapy;Curietron brachytherapie;curietron brachytherapie;Curietron brachytherapie
228683007;Cathetron brachytherapy;Cathetron brachytherapie;cathetron brachytherapie;Cathetron brachytherapie
228684001;Iridium 192 brachytherapy;Iridium 192 brachytherapie;iridium 192 brachytherapie;Iridium 192 brachytherapie
228685000;Gammamed brachytherapy;Gammamed brachytherapie;gammamed brachytherapie;Gammamed brachytherapie
228686004;Microselectron brachytherapy;Microselectron brachytherapie;microselectron brachytherapie;Microselectron brachytherapie
228687008;Selectron brachytherapy;Selectron brachytherapie;selectron brachytherapie;Selectron brachytherapie
228688003;Californium 252 brachytherapy;Californium 252 brachytherapie;californium 252 brachytherapie;Californium 252 brachytherapie
228689006;Gold 198 brachytherapy;Gold 198 brachytherapie;gold 198 brachytherapie;Gold 198 brachytherapie
228692005;Radon 222 brachytherapy;Radon 222 brachytherapie;radon 222 brachytherapie;Radon 222 brachytherapie
228693000;Ruthenium 106 brachytherapy;Ruthenium 106 brachytherapie;ruthenium 106 brachytherapie;Ruthenium 106 brachytherapie
228694006;Strontium 90 brachytherapy;Strontium 90 brachytherapie;strontium 90 brachytherapie;Strontium 90 brachytherapie
228696008;Yttrium 90 brachytherapy;Yttrium 90 brachytherapie;yttrium 90 brachytherapie;Yttrium 90 brachytherapie
228701001;Strontium 89 therapy;Strontium 89 therapie;strontium 89 therapie;Strontium 89 therapie
228702008;Gold 198 therapy;Gold 198 therapie;gold 198 therapie;Gold 198 therapie
228710009;Marker cystogram;marker cystogram;marker cystogram;marker cystogram
229081004;Belfast regime;Belfast regime;belfast regime;Belfast regime
229085008;Duran regime;Duran regime;duran regime;Duran regime
229088005;Kleinert regime;Kleinert regime;kleinert regime;Kleinert regime
229089002;Knights regime;Knights regime;knights regime;Knights regime
229165007;Sprint training;Sprint training;sprint training;Sprint training
229199005;Circuit training in water;Circuit training in water;circuit training in water;Circuit training in water
229210004;Hippotherapy;hippotherapie;hippotherapie;hippotherapie
229211000;Rebound therapy;rebound therapie;rebound therapie;rebound therapie
229215009;Games for therapy;Games voor therapie;games voor therapie;Games voor therapie
229229005;Neurological functional rehabilitation;Neurologische functionele revalidatie;neurologische functionele revalidatie;Neurologische functionele revalidatie
229239004;Neuromuscular stimulation;neuromusculaire stimulatie;neuromusculaire stimulatie;neuromusculaire stimulatie
229298005;Breathing control;ademhaling controle;ademhaling controle;Ademhaling
229299002;Relaxed breathing;ontspannen ademhaling;ontspannen ademhaling;ontspannen ademhaling
229316007;Cervical traction;cervicale tractie;cervicale tractie;cervicale tractie
229318008;Lumbar traction;lumbale tractie;lumbale tractie;lumbale tractie
229470005;Prophylactic stretching;profylactische stretching;profylactische stretching;profylactische stretching
229475000;Wrist stretching;pols stretching;pols stretching;pols stretching
229479006;Knee stretching;knie stretching;knie , stretching;knie stretching
229480009;Hip adductor stretching;Heup adductor stretching;heup adductor stretching;Heup adductor stretching
229482001;Hamstring stretching;hamstring stretching;hamstring stretching;hamstring stretching
229487007;Manual lymphatic drainage;Manuele lymfedrainage;manuele lymfedrainage;Manuele lymfedrainage
229489005;Edema massage;oedeem massage;oedeem massage;oedeem massage
229490001;Petrissage;petrissage;petrissage;petrissage
229493004;Chest percussion therapy;Borst percussie therapie;borst percussie therapie;Borst percussie therapie
229501008;Ghee massage;ghee massage;ghee massage;ghee massage
229502001;Silicone oil massage;Silicone olie massage;silicone olie massage;Silicone olie massage
229555007;Rebox therapy;Rebox therapie;rebox therapie;Rebox therapie
229561005;Faradism therapy;Faradism therapie;faradism therapie;Faradism therapie
229566000;Ionozone therapy;Ionozone therapie;ionozone therapie;Ionozone therapie
229838003;Removal of onychophosis;Verwijdering van onychophosis;verwijdering van onychophosis;Verwijdering van onychophosis
230121001;Faradic nerve stimulation;Faradic zenuwstimulatie;faradic zenuwstimulatie;Faradic zenuwstimulatie
230878007;Removal of ventriculoperitoneal shunt;Verwijdering van ventriculoperitoneale shunt;verwijdering van ventriculoperitoneale shunt;Verwijdering van ventriculoperitoneale shunt
231082000;Dry needle acupuncture;Droge naald acupunctuur;droge naald acupunctuur;Droge naald acupunctuur
231089009;Moxa punk therapy;Moxa punk therapie;moxa punk therapie;Moxa punk therapie
231090000;Moxa roll therapy;Moxa roll therapie;moxa roll therapie;Moxa roll therapie
231092008;Acabani;Acabani;acabani;Acabani
231096006;Ryodoraku;Ryodoraku;ryodoraku;Ryodoraku
231097002;Cupping;cupping;cupping;cupping
231293005;Intradermal infiltration;intradermale infiltratie;intradermale infiltratie;intradermale infiltratie
231298001;Intramuscular infiltration;intramusculaire infiltratie;intramusculaire infiltratie;intramusculaire infiltratie
231305006;Skin infiltration;huid infiltratie;huid infiltratie;huid infiltratie
231318003;Wound infiltration;wond infiltratie;wond infiltratie;wond infiltratie
231326006;Intrapulpal anesthesia;Intrapulpal anesthesie;intrapulpal anesthesie;Intrapulpal anesthesie
231389002;Epidural neurolysis;epidurale neurolyse;epidurale neurolyse;epidurale neurolyse
231390006;Cervical epidural neurolysis;Cervicale epidurale neurolyse;cervicale epidurale neurolyse;Cervicale epidurale neurolyse
231391005;Thoracic epidural neurolysis;Thoracale epidurale neurolyse;thoracale epidurale neurolyse;Thoracale epidurale neurolyse
231562008;Bicoronal browlift;bicoronal wenkbrauwlift;bicoronal wenkbrauwlift;bicoronal wenkbrauwlift
231650004;Medial rectus disinsertion;Mediale rectus disinsertion;mediale rectus disinsertion;Mediale rectus disinsertion
231651000;Medial rectus superoplacement;Mediale rectus superoplacement;mediale rectus superoplacement;Mediale rectus superoplacement
231652007;Medial rectus inferoplacement;Mediale rectus inferoplacement;mediale rectus inferoplacement;Mediale rectus inferoplacement
231710008;Keratomileusis;keratomileusis;keratomileusis;keratomileusis
231730007;Iridoplasty;Iridoplasty;iridoplasty;Iridoplasty
231734003;Trabeculoplasty;trabeculoplastiek;trabeculoplastiek;trabeculoplastiek
231735002;Surgical trabeculoplasty;chirurgische trabeculoplastiek;chirurgische trabeculoplastiek;chirurgische trabeculoplastiek
231739008;Iridocyclochoroidectomy;Iridocyclochoroidectomy;iridocyclochoroidectomy;Iridocyclochoroidectomy
231740005;Cyclochoroidectomy;Cyclochoroidectomy;cyclochoroidectomy;Cyclochoroidectomy
231754002;Biopsy of vitreous;Biopsie van glasvocht;biopsie van glasvocht;Biopsie van glasvocht
231766008;Pneumatic retinopexy;pneumatische retinopexie;pneumatische retinopexie;pneumatische retinopexie
231771001;Transvitreal membranectomy;Transvitreal membranectomy;transvitreal membranectomy;Transvitreal membranectomy
231774009;Retinotomy;Retinotomy;retinotomy;Retinotomy
231775005;Retinectomy;Retinectomy;retinectomy;Retinectomy
231792001;Ventriculolumbar shunt with valve;Ventriculolumbar shunt met klep;ventriculolumbar shunt met klep;Ventriculolumbar shunt met klep
232191001;Platinectomy;Platinectomy;platinectomy;Platinectomy
232205006;Sacculotomy;Sacculotomy;sacculotomy;Sacculotomy
232471000;Bilateral collumellar lengthening operation;Bilaterale collumellar verlenging operatie;bilaterale collumellar verlenging operatie;Bilaterale collumellar verlenging operatie
232481001;Septodermoplasty;Septodermoplasty;septodermoplasty;Septodermoplasty
232507002;Excision of plantar fascia;Excisie van fascia plantaris;excisie van fascia plantaris;Excisie van fascia plantaris
232547009;Laryngotracheoplasty;Laryngotracheoplasty;laryngotracheoplasty;Laryngotracheoplasty
232553009;Arytenoidectomy;Arytenoidectomy;arytenoidectomy;arytaenodectomie
232554003;Epiglottopexy;Epiglottopexy;epiglottopexy;Epiglottopexy
232580002;Microlaryngoscopy and bronchoscopy;Microlaryngoscopy en bronchoscopie;microlaryngoscopy en bronchoscopie;Microlaryngoscopy en bronchoscopie
232645008;Pleuropneumonectomy;Pleuropneumonectomy;pleuropneumonectomy;Pleuropneumonectomy
232647000;Pneumonectomy with tracheobronchoplasty;Pneumonectomie met tracheobronchoplasty;pneumonectomie met tracheobronchoplasty;Pneumonectomie met tracheobronchoplasty
232668004;Tongue traction;tong tractie;tong tractie;tong tractie
232674004;Orotracheal intubation;Orotracheal intubatie;orotracheal intubatie;Orotracheal intubatie
232679009;Nasotracheal intubation;nasotracheale intubatie;nasotracheale intubatie;nasotracheale intubatie
232689008;Percutaneous cricothyroidotomy;percutane cricothyroidotomy;percutane cricothyroidotomy;percutane cricothyroidotomy
232690004;Percutaneous dilatational cricothyroidotomy;Percutane dilatational cricothyroidotomy;percutane dilatational cricothyroidotomy;Percutane dilatational cricothyroidotomy
232692007;Open cricothyroidotomy;Open cricothyroidotomy;open cricothyroidotomy;Open cricothyroidotomy
232758002;Resection of mitral leaflet;Resectie van mitralisklep leaflet;resectie van mitralisklep leaflet;Resectie van mitralisklep leaflet
232850000;Aortoventriculoplasty;Aortoventriculoplasty;aortoventriculoplasty;Aortoventriculoplasty
232851001;Konno aortoventriculoplasty;Konno aortoventriculoplasty;konno aortoventriculoplasty;Konno aortoventriculoplasty
232872003;Pulmonary valvectomy;pulmonale valvectomy;pulmonale valvectomy;pulmonale valvectomy
232873008;Open pulmonary valvectomy;Open pulmonale valvectomy;open pulmonale valvectomy;Open pulmonale valvectomy
232874002;Closed pulmonary valvectomy;Gesloten pulmonale valvectomy;gesloten pulmonale valvectomy;Gesloten pulmonale valvectomy
232913000;Atrioventricular valvotomy;atrioventriculaire valvotomy;atrioventriculaire valvotomy;atrioventriculaire valvotomy
232919001;Atrioventricular valvectomy;atrioventriculaire valvectomy;atrioventriculaire valvectomy;atrioventriculaire valvectomy
233004008;Coronary sinus operation;Coronaire sinus operatie;coronaire sinus operatie;Coronaire sinus operatie
233041009;Open atrial fenestration;Open atriale fenestration;open atriale fenestration;Open atriale fenestration
233042002;Closed atrial fenestration;Gesloten atriale fenestration;gesloten atriale fenestration;Gesloten atriale fenestration
233050006;Ventricular operation;ventriculaire operatie;ventriculaire operatie;ventriculaire operatie
233061003;Resection of septomarginal trabeculation;Resectie van septomarginal trabeculation;resectie van septomarginal trabeculation;Resectie van septomarginal trabeculation
233309009;Endarterectomy of profunda femoris;Endarterectomie van profunda femoris;endarterectomie van profunda femoris;Endarterectomie van profunda femoris
233378000;Extra-anatomical bypass graft;Extra - anatomische bypass;extra - anatomische bypass;Extra - anatomische bypass
233379008;Axillobifemoral bypass graft;Axillobifemoral bypass;axillobifemoral bypass;Axillobifemoral bypass
233380006;Femorofemoral crossover bypass graft;Femorofemoral crossover bypass;femorofemoral crossover bypass;Femorofemoral crossover bypass
233383008;Femorodistal bypass;Femorodistal bypass;femorodistal bypass;Femorodistal bypass
233447000;Mesoatrial shunt;Mesoatrial shunt;mesoatrial shunt;Mesoatrial shunt
233448005;Femorofemoral venous crossover shunt;Femorofemoral veneuze crossover shunt;femorofemoral veneuze crossover shunt;Femorofemoral veneuze crossover shunt
233479009;Embolization of arteriovenous graft;Embolisatie van arterioveneuze graft;embolisatie van arterioveneuze graft;Embolisatie van arterioveneuze graft
233493002;Excision of arteriovenous graft;Excisie van arterioveneuze graft;excisie van arterioveneuze graft;Excisie van arterioveneuze graft
233563006;Hypertransfusion;Hypertransfusion;hypertransfusion;Hypertransfusion
233575001;Intermittent hemodialysis;intermitterende hemodialyse;intermitterende hemodialyse;intermitterende hemodialyse
233578004;Continuous hemodialysis;continue hemodialyse;continue hemodialyse;continue hemodialyse
233579007;Continuous arteriovenous hemodialysis;Continue arterioveneuze hemodialyse;continue arterioveneuze hemodialyse;Continue arterioveneuze hemodialyse
233580005;Continuous venovenous hemodialysis;Continue venoveneuze hemodialyse;continue venoveneuze hemodialyse;Continue venoveneuze hemodialyse
233581009;Hemofiltration;hemofiltratie;hemofiltratie;hemofiltratie
233582002;Intermittent hemofiltration;intermitterende hemofiltratie;intermitterende hemofiltratie;intermitterende hemofiltratie
233583007;Continuous hemofiltration;continue hemofiltratie;continue hemofiltratie;continue hemofiltratie
233585000;Continuous venovenous hemofiltration;Continue venoveneuze hemofiltratie;continue venoveneuze hemofiltratie;Continue venoveneuze hemofiltratie
233586004;Hemodiafiltration;hemodiafiltratie;hemodiafiltratie;hemodiafiltratie
233587008;Intermittent hemodiafiltration;intermitterende hemodiafiltratie;intermitterende hemodiafiltratie;intermitterende hemodiafiltratie
233589006;Continuous arteriovenous hemodiafiltration;Continue arterioveneuze hemodiafiltratie;continue arterioveneuze hemodiafiltratie;Continue arterioveneuze hemodiafiltratie
233590002;Continuous venovenous hemodiafiltration;Continue venoveneuze hemodiafiltratie;continue venoveneuze hemodiafiltratie;Continue venoveneuze hemodiafiltratie
233591003;Hemoperfusion;hemoperfusie;hemoperfusie;hemoperfusie
233592005;Plasma filtration;plasma filtratie;plasma filtratie;plasma filtratie
233594006;Lipopheresis;Lipopheresis;lipopheresis;Lipopheresis
234319005;Splenectomy;splenectomie;splenectomie;Splenectomie
234321000;Splenic cystogastrostomy;milt cystogastrostomy;milt cystogastrostomy;milt cystogastrostomy
234322007;Splenic cystojejunostomy;milt cystojejunostomy;milt cystojejunostomy;milt cystojejunostomy
234328006;Bone marrow trephine;Beenmerg trephine;beenmerg , trephine;Beenmerg trephine
234667005;Expose jaw implant;Expose kaak implantaat;expose kaak implantaat;Expose kaak implantaat
234681007;Gingivectomy;gingivectomie;gingivectomie;Gingivectomie
234693003;Tooth root resection;Tandwortel resectie;tandwortel resectie;Tandwortel resectie
234698007;Subgingival scaling;subgingivale scaling;subgingivale scaling;subgingivale scaling
234704007;Pulpotomy - devitalizing;Pulpotomy - devitalizing;pulpotomy - devitalizing;Pulpotomy - devitalizing
235159007;Percutaneous endoscopic gastrostomy;Percutane endoscopische gastrostomie;percutane endoscopische gastrostomie;Percutane endoscopische gastrostomie
235183004;Esophagomyotomy;Esophagomyotomy;esophagomyotomy;oesofagomyotomie
235195004;Replacement of implanted antireflux prosthesis;Vervanging van ge ï mplanteerde antireflux prothese;vervanging van ge ï mplanteerde antireflux prothese;Vervanging van ge ï mplanteerde antireflux prothese
235226003;Finney pyloroplasty;Finney pyloroplastiek;finney pyloroplastiek;Finney pyloroplastiek
235249001;Gastric lavage with water;Maagspoeling met water;maagspoeling met water;Maagspoeling met water
235292006;Santulli enterostomy;Santulli enterostomie;santulli enterostomie;Santulli enterostomie
235315006;Drainage of appendix mass;Drainage van appendix massa;drainage van appendix massa;Drainage van appendix massa
235378002;Mesh rectopexy;mesh rectopexie;mesh rectopexie;mesh rectopexie
235477008;Pancreaticojejunostomy;pancreaticojejunostomie;pancreaticojejunostomie;pancreaticojejunostomie
235566000;Biliary drainage;galwegdrainage;galwegdrainage;galwegdrainage
236148009;Open pyelostomy;Open pyelostomy;open pyelostomy;Open pyelostomy
236167008;Urinary undiversion;urine undiversion;urine undiversion;urine undiversion
236183008;Ureteroscopic pyelolysis;ureteroscopic pyelolysis;ureteroscopic pyelolysis;ureteroscopic pyelolysis
236199002;Transurethral subureteric injection;Transurethrale subureteric injectie;transurethrale subureteric injectie;Transurethrale subureteric injectie
236209003;Salvage cystoprostatourethrectomy;Salvage cystoprostatourethrectomy;salvage cystoprostatourethrectomy;Salvage cystoprostatourethrectomy
236245000;Retropubic urethrolysis;retropubische urethrolysis;retropubische urethrolysis;retropubische urethrolysis
236267004;Vaginal urethrolysis;vaginale urethrolysis;vaginale urethrolysis;vaginale urethrolysis
236269001;Bulbar urethral prosthesis operation;Bulbaire urethra prothese operatie;bulbaire urethra prothese operatie;Bulbaire urethra prothese operatie
236295004;Diagnostic meatourethroscopy and biopsy;Diagnostische meatourethroscopy en biopsie;diagnostische meatourethroscopy en biopsie;Diagnostische meatourethroscopy en biopsie
236850003;Colpocleisis;Colpocleisis;colpocleisis;colpoclisis
236886002;Hysterectomy;hysterectomie;hysterectomie;Hysterectomie
236887006;Laparoscopic hysterectomy;laparoscopische hysterectomie;laparoscopische hysterectomie;laparoscopische hysterectomie
236888001;Total laparoscopic hysterectomy;Totale laparoscopische hysterectomie;totale laparoscopische hysterectomie;Totale laparoscopische hysterectomie
236897002;Endometrial resection;endometrium resectie;endometrium resectie;endometrium resectie
236925000;Linear salpingotomy;lineaire salpingotomy;lineaire salpingotomy;lineaire salpingotomy
236937003;Gynecological endoscopic examination;Gynaecologische endoscopisch onderzoek;gynaecologische endoscopisch onderzoek;Gynaecologische endoscopisch onderzoek
236941004;Ampullosalpingoscopy;Ampullosalpingoscopy;ampullosalpingoscopy;Ampullosalpingoscopy
236942006;Microhysteroscopy;Microhysteroscopy;microhysteroscopy;Microhysteroscopy
236943001;Microcolpohysteroscopy;Microcolpohysteroscopy;microcolpohysteroscopy;Microcolpohysteroscopy
236956008;Amnioinfusion;Amnioinfusion;amnioinfusion;Amnioinfusion
237400005;Microdochectomy;Microdochectomy;microdochectomy;Microdochectomy
237478002;Sublabial hypophysectomy;Sublabial hypofysectomie;sublabial hypofysectomie;Sublabial hypofysectomie
237485003;Chiasmopexy;Chiasmopexy;chiasmopexy;Chiasmopexy
237490000;Mediastinoscopic thymectomy;Mediastinoscopic thymectomie;mediastinoscopic thymectomie;Mediastinoscopic thymectomie
238236007;Excision of vitelline fistula;Excisie van vitelline fistel;excisie van vitelline fistel;Excisie van vitelline fistel
238240003;Excision of vitelline sinus;Excisie van vitelline sinus;excisie van vitelline sinus;Excisie van vitelline sinus
238267009;Drainage of pericecal abscess;Drainage van pericecal abces;drainage van pericecal abces;Drainage van pericecal abces
238322004;Tidal peritoneal dialysis;Tidal peritoneale dialyse;tidal peritoneale dialyse;Tidal peritoneale dialyse
238328000;Minithoracotomy;Minithoracotomy;minithoracotomy;Minithoracotomy
238365003;Excision of glomus vagale;Excisie van glomus vagale;excisie van glomus vagale;Excisie van glomus vagale
239295000;Open reduction of fracture without fixation;Open reductie van fractuur zonder fixatie;open reductie van fractuur zonder fixatie;Open reductie van fractuur zonder fixatie
239298003;Zygomatic osteotomy;Zygomatic osteotomie;zygomatic osteotomie;Zygomatic osteotomie
239306009;Osteotomy of glenoid;Osteotomie van glenoid;osteotomie van glenoid;Osteotomie van glenoid
239318000;Osteotomy for callotasis;Osteotomie voor callotasis;osteotomie voor callotasis;Osteotomie voor callotasis
239338004;Hemimaxillectomy;Hemimaxillectomy;hemimaxillectomy;Hemimaxillectomy
239430005;Ligament reconstruction;ligament reconstructie;ligament reconstructie;ligament reconstructie
239455004;Cheilectomy;Cheilectomy;cheilectomy;Cheilectomy
239594000;Terminalization of hallux;Terminalization van hallux;terminalization van hallux;Terminalization van hallux
239601007;Complex reconstruction of wrist and hand;Complex reconstructie van pols en hand;complex reconstructie van pols en hand;Complex reconstructie van pols en hand
239989009;Rectorectostomy;Rectorectostomy;rectorectostomy;Rectorectostomy
240293001;Open fetal operation;Open foetale operatie;open foetale operatie;Open foetale operatie
240715008;Digital palpation;digitale palpatie;digitale palpatie;digitale palpatie
240926008;Percutaneous embolectomy;percutane embolectomie;percutane embolectomie;percutane embolectomie
240929001;Percutaneous thrombolysis;percutane trombolyse;percutane trombolyse;percutane trombolyse
240959006;Therapeutic barium enema;Therapeutische bariumklysma;therapeutische bariumklysma;Therapeutische bariumklysma
241030000;Aspiration of drain;Aspiratie van drain;aspiratie van drain;Aspiratie van drain
241041003;Morphanalysis;Morphanalysis;morphanalysis;Morphanalysis
241057003;Mammogram coned;mammogram coned;mammogram coned;mammogram coned
241129007;Auditory meatogram;auditieve meatogram;auditieve meatogram;auditieve meatogram
241133000;Submandibular sialogram;submandibulaire sialogram;submandibulaire sialogram;submandibulaire sialogram
241134006;Choanogram;Choanogram;choanogram;Choanogram
241137004;Lymphadenogram;Lymphadenogram;lymphadenogram;lymfogram
241150003;Videoswallow;Videoswallow;videoswallow;Videoswallow
241151004;Cineswallow;Cineswallow;cineswallow;Cineswallow
241167005;Instant barium enema;Instant bariumklysma;instant bariumklysma;Instant bariumklysma
241169008;Proctogram;Proctogram;proctogram;Proctogram
241170009;Defecating proctogram;defecating proctogram;defecating proctogram;defecating proctogram
241172001;Pouchogram;Pouchogram;pouchogram;Pouchogram
241173006;Herniogram;Herniogram;herniogram;Herniogram
241180008;Percutaneous hepatogram;percutane hepatogram;percutane hepatogram;percutane hepatogram
241184004;Stress cystogram;Stress cystogram;stress cystogram;Stress cystogram
241185003;Retrograde ileoureterostogram;retrograde ileoureterostogram;retrograde ileoureterostogram;retrograde ileoureterostogram
241186002;Gynecogram;Gynecogram;gynecogram;Gynecogram
241189009;Breast sinogram;borst sinogram;borst sinogram;borst sinogram
241190000;Breast pneumocystogram;borst pneumocystogram;borst pneumocystogram;borst pneumocystogram
241195005;Epidurogram;Epidurogram;epidurogram;Epidurogram
241209000;Sinogram;sinogram;sinogram;sinogram
241210005;Pneumocystogram;Pneumocystogram;pneumocystogram;Pneumocystogram
241211009;Tenogram;Tenogram;tenogram;Tenogram
241219006;Internal carotid arteriogram;Carotis interna arteriogram;carotis interna arteriogram;Carotis interna arteriogram
241224009;Petrosal venography;petrosus venografie;petrosus venografie;petrosus venografie
241227002;Selective pulmonary arteriogram;Selectieve pulmonale arteriogram;selectieve pulmonale arteriogram;Selectieve pulmonale arteriogram
241232001;Bronchial arteriogram;bronchiale arteriogram;bronchiale arteriogram;bronchiale arteriogram
241234000;Abdominal angiography;abdominale angiografie;abdominale angiografie;abdominale angiografie
241241006;Inferior mesenteric arteriogram;Mesenterica inferior arteriogram;mesenterica inferior arteriogram;Mesenterica inferior arteriogram
241252000;Adrenal angiography;bijnier angiografie;bijnier angiografie;bijnier angiografie
241253005;Adrenal arteriogram;bijnier arteriogram;bijnier arteriogram;bijnier arteriogram
241257006;Percutaneous perfemoral pelvic venogram;Percutane perfemoral bekken venogram;percutane perfemoral bekken venogram;Percutane perfemoral bekken venogram
241259009;Transuterine pelvic venogram;Transuterine bekken venogram;transuterine bekken venogram;Transuterine bekken venogram
241275007;Vascular fistulogram;vasculaire fistulogram;vasculaire fistulogram;vasculaire fistulogram
241277004;Portocath injection;Portocath injectie;portocath injectie;Portocath injectie
241278009;Hickman line injection;Hickman lijn injectie;hickman lijn injectie;Hickman lijn injectie
241279001;Ventricular shuntogram;ventriculaire shuntogram;ventriculaire shuntogram;ventriculaire shuntogram
241360002;Hippuran renogram;Hippuran renogram;hippuran renogram;Hippuran renogram
241371001;Probe renogram;probe renogram;probe renogram;probe renogram
241598003;Bimanual examination;bimanual onderzoek;bimanual onderzoek;bimanual onderzoek
241705007;Intravenous sedation;intraveneuze sedatie;intraveneuze sedatie;intraveneuze sedatie
241707004;Intramuscular sedation;intramusculaire sedatie;intramusculaire sedatie;intramusculaire sedatie
241714002;Reversal of sedation;Omkering van sedatie;omkering van sedatie;Omkering van sedatie
242557008;Bimanual palpation;bimanual palpatie;bimanual palpatie;bimanual palpatie
243101001;Stoma training;stoma training;stoma training;stoma training
243131007;Helium inhalation therapy;Helium inhalatietherapie;helium inhalatietherapie;Helium inhalatietherapie
243203006;Intermittent pneumatic calf-thigh compression;Intermitterende pneumatische kuit - dij compressie;intermitterende pneumatische kuit - dij compressie;Intermitterende pneumatische kuit - dij compressie
243220005;Postural drainage after nephrolithotripsy;Houdingsdrainage na nephrolithotripsy;houdingsdrainage na nephrolithotripsy;Houdingsdrainage na nephrolithotripsy
243306000;Ureteroileostomy;Ureteroileostomy;ureteroileostomy;Ureteroileostomy
243790003;Infection screening;infectie screening;infectie screening;infectie screening
247042001;Holth iridencleisis;Holth iridencleisis;holth iridencleisis;Holth iridencleisis
248352005;Permanent continent ileostomy;Permanente continent ileostoma;permanente continent ileostoma;Permanente continent ileostoma
250980009;Cardioversion;cardioversie;cardioversie;Cardioversie
251548005;Extrapetrosal drainage;Extrapetrosal drainage;extrapetrosal drainage;Extrapetrosal drainage
252160004;Standard pregnancy test;Standard zwangerschapstest;standard zwangerschapstest;Standard zwangerschapstest
252167001;Urea and electrolytes;Ureum en elektrolyten;ureum en elektrolyten;Ureum en elektrolyten
252170002;Volatile substance screening;Vluchtige stof screening;vluchtige stof screening;Vluchtige stof screening
252282000;Fibrinogen screening;fibrinogeen screening;fibrinogeen screening;fibrinogeen screening
252328001;Field-inversion electrophoresis;Field - inversie elektroforese;field - inversie elektroforese;Field - inversie elektroforese
252331000;Immunofixation;immunofixatie;immunofixatie;immunofixatie
